api 25nM-LYVACKO1,api 25nM-LYVACKO2,api 25nM-WT,nontreated-LYVACKO1,nontreated-LYVACKO2,nontreated-WT,
0.015746850629874024,0.009607005021371955,0.0014653125157900056,0.010160824742268041,0.00042002005257025176,0.0,
0.019678634775033847,0.010963773929183773,0.027240011557960544,0.0003636069812540401,0.0,0.0,
0.005583043594543996,0.011677802979219028,0.03619377590793788,0.0,0.0,0.0,
0.0,0.023071298557849375,0.042560443071679624,0.0,0.0012820293670193672,0.003444316877152698,
0.008311795112781954,0.0,0.008738179517433609,0.00154327792230698,0.0,0.0058426443202979515,
0.008532458421030911,0.013836382882201724,0.03605072727537456,0.0,0.0007038371846512614,0.0,
0.029095313567075134,0.01772765946639237,0.01246425691033067,0.0,0.0,0.0010735309731381315,
0.016897731033721913,0.0,0.04409593649410683,0.0,0.0,0.0025535554800810096,
0.015743080247407594,0.007877218934911242,0.006894218161823795,0.0030496181108852134,0.0034014066374859404,0.0004622567373919475,
0.03246580547112462,0.019231664726426078,0.034928389905636216,0.0008020364752240472,0.0010905594857151058,0.02254733920992491,
0.026038975800285188,0.009691400832177531,0.04828701803520124,0.024822173166544028,0.00025475034466223103,0.0006365839923609921,
0.013153667979779194,0.009268214055448098,0.049109248983443037,0.0,0.0,0.0018605247963046129,
0.0,0.002498158871352038,0.06418324435563244,0.00571784627790199,0.001044311377245509,0.0,
0.019835493634620272,0.009086403436312573,0.024889304474574405,0.0011848224247390923,0.0,0.0,
0.014824926192819275,0.03242609521548142,0.0718221300317625,0.0007640210818020538,0.0,0.0004176424086034336,
0.011395387630843655,0.020141637158925224,0.049026802633164286,0.0004281945384477257,0.0,0.024909335820122266,
0.015939813803918453,0.022005559299191374,0.015476577989524457,0.001797698945349952,0.003163206909109828,0.0,
0.021716984071814664,0.007355896776268188,0.07817750543585689,0.0004344601038465614,0.0,0.0019090120242965167,
0.007650991151126396,0.018611968294306287,0.04481198756007916,0.0029287644607745252,0.0021133122539846423,0.0014615958240119314,
0.02019985167258675,0.01444690305945175,0.013000881415689199,0.002682483383505708,0.0,0.0,
0.005320358328407076,0.0030898306231534316,0.013313367182198929,0.0010405285885229697,0.0030822147276260248,0.0033575456999275824,
0.015428224336910306,0.010940304330862271,0.041091090416571205,0.0,0.0,0.0011200884123120118,
0.017896104825152314,0.016459140760286962,0.04584285133147667,0.0,0.0008175500749420902,0.03292588921924898,
0.013087454723557419,0.02055296675986331,0.05495736066844689,0.00013709585285045129,0.001469943523222529,0.0,
0.01690421537749782,0.005135163344118568,0.046831202570588634,0.0,0.0,0.0018942425697668214,
0.013341302321812068,0.01713768296532589,0.047840272835909074,0.023639557181301063,0.0,0.0,
0.015596484353132172,0.0,0.0488992122803474,0.0,0.0002874094147112562,0.008402407176109912,
0.010183489667027916,0.00713861496757046,0.035761090489605976,0.0,0.0007788920260928828,0.0,
0.027747871195067046,0.0,0.05438785520158242,0.0007809504877390773,0.000676056338028169,0.0,
0.0025668364727717886,0.010643557557612548,0.02022642357502037,0.00020166791226259535,0.0,0.0,
0.017175862593099254,0.020868744098205855,0.08723634741604537,0.00037270868863012614,0.004581026913533117,0.0,
0.014239275671579283,0.0032492440994629722,0.023673622157761767,0.004766444232602479,0.0012037557178396598,0.0,
0.005816347539633519,0.01322887835999437,0.06556926669566611,0.0016142327242753126,0.001022038438043325,0.0,
0.011840203862827664,0.008715550442654929,0.05250212846466749,0.002110000093362836,0.0,0.0,
0.0,0.0031532906113315023,0.052565185828701996,0.014434664151734255,0.0,0.006808858324680409,
0.021710654302574413,0.018966889898374934,0.04256112800044762,0.002091019673680295,0.0,0.0030635038825656846,
0.02039460082110051,0.009429819492916078,0.06945097137372142,0.000963914306660512,0.0,0.0,
0.023947707820377535,0.006197409124022087,0.06819726772361467,0.0032164165902767725,0.0,0.0,
0.004794615278225992,0.010886485496556004,0.006955070246209487,0.0031551121343907224,0.0,0.0,
0.018929653315382027,0.006983633144124315,0.03496887911620237,0.0,0.0,0.0,
0.009472638486616575,0.014191761855313257,0.052406417112299465,0.010594270892932066,0.0,0.01701908200103146,
0.007864512877642503,0.021331119243109157,0.07632626533430822,0.001139457497226984,0.0,0.0006895600606812854,
0.0026678706287965853,0.00785289969656823,0.025109284840006994,0.00032299089569412764,0.0,0.0020843583665071342,
0.0008873472351066834,0.013080168776371307,0.0016939582156973462,0.0034259389177306956,0.0013217301798956651,0.0,
0.0,0.023453587569866017,0.08282818640319475,0.0012261006168818728,0.0,0.0,
0.017157167101287306,0.012275279676141558,0.010599581475752889,0.0021968235119489386,0.0,0.005160285977859779,
0.010993229194434078,0.013736878844152936,0.056166076015216046,0.0,0.0,0.0,
0.026378445272460686,0.01055567323307209,0.004094089623343755,0.0,0.003785869086265658,0.0079301489470981,
0.014118108928382684,0.009671231064364622,0.031028120328849027,0.013269240835412558,0.00045579346044906507,0.0,
0.0220978383375334,0.0075208579602884995,0.012999900764116305,0.009040463869318536,0.0028668406604551787,0.004538611406305349,
0.020518678343275372,0.03609371215005018,0.04977023421286689,0.0004301923318216853,0.0,0.0,
0.0015151825385450153,0.03243251454526121,0.01931640012543117,0.00164641027064025,0.002385674456037481,0.0,
0.028165124948225873,0.015304852758191621,0.0,0.0013950538998097654,0.0,0.0017020740086994893,
0.010972963951935914,0.007836193418351008,0.06628950358227642,0.0005647407061206208,0.007105924492330801,0.0010028294115540274,
0.014710998459321107,0.0,0.048170466095542326,0.010816507103303608,0.00019218449711723255,0.02805270508227579,
0.003972512472936082,0.006936666787094909,0.027142658702597584,0.0,0.0011563491636637443,0.0,
0.00955150805025788,0.001253025772461911,0.009930948871130421,0.0,0.0005729441009860183,0.0,
0.020373122484020373,0.0046795053094387164,0.04287989545473108,0.0,0.0044101856112900755,0.0,
0.030259201461576523,0.020899893503727368,0.022803778911933976,0.0,0.00036382463652519486,0.0023456610854825917,
0.007615148413510747,0.013844645920117618,0.04382671672391299,0.0030144764975989346,0.02062274035268944,0.0008221712171559727,
0.011402056336073132,0.012356532356532357,0.02467161165203831,0.0007746143915200108,0.0006228113469176714,0.0033727311726157896,
0.009552493079005811,0.006648111561368847,0.06163868449936989,0.012616835952194925,0.0,0.0015551000212059094,
0.0049405589007256445,0.01981173864894795,0.0662417736885822,0.0,0.004707657343658986,0.0,
0.0,0.0038409370365205925,0.025877632898696087,0.0006865605767108845,0.0,0.0038318006130880983,
0.0,0.026056351353908453,0.06271354156942552,0.00021755501631662622,0.0,0.0,
0.002843311918515719,0.012043851973853518,0.01085664728744419,0.0,0.0020266037805372343,0.0019517856200875665,
0.020757106670419363,0.014769576484659574,0.032784151547491994,0.005554299282039685,0.006495589414595028,0.0,
0.025267776137794688,0.020689273662665264,0.013575406108932748,0.0,0.0,0.0,
0.016932155107261204,0.017990767895422085,0.00858970987816636,0.020492833794317326,0.0,0.0007050679429108623,
0.006585269345995139,0.015113440123861132,0.028456610712379145,0.0,0.0006385572476247605,0.0,
0.013200018035891424,0.025401752758796917,0.012292412894822533,0.0,0.0,0.002030733157476029,
0.013670985762978823,0.007715067887066891,0.020472859293367573,0.004352732548766725,0.0007339185494315729,0.0,
0.003308610659240674,0.02010943741156731,0.03986202138668506,0.0008063215610385422,0.0006460320939515246,0.0025048388933166343,
0.019622977586462816,0.008115734604093648,0.05879756612755761,0.00341818395510328,0.0,0.0,
0.015520670549794004,0.03408084627719407,0.011536229905457523,0.0,0.004691704970349377,0.014115149907137171,
0.02758584680717754,0.0,0.09108706579539141,0.0,0.0014861165428236213,0.0,
0.012232726779844804,0.005130529075695535,0.0394849336101757,0.005644573925710124,0.0,0.0008393486654356219,
0.00746684976183324,0.01660268865614584,0.031833939291451764,0.003891970031830755,0.001771642108931787,0.0,
0.008301661480520375,0.0,0.07956817273090763,0.01145235475789669,0.003132814071796051,0.00048376368144161576,
0.024103901996370237,0.008674817459490686,0.03030440915502571,0.0012633098718642843,0.0008478044787464188,0.003969829297340214,
0.012785472738222078,0.012421155886076672,0.05413008846557977,0.0,0.0,0.00042400329780342737,
0.008833235186275708,0.025046579717859993,0.06772961619247661,0.0,0.009389494324823711,0.0017500364590928978,
0.029563506598156073,0.006654209015085912,0.035731941774237844,0.00019422863485016648,0.0,0.006610603948374331,
0.0,0.020170075941869568,0.006154595083278278,0.0022074074074074075,0.00033597634726515254,0.0005143410383637904,
0.02285361334156887,0.005094073427891398,0.015817188666640468,0.0,0.0,0.00591089951470825,
0.0066554399039753485,0.016678820515697163,0.03784865418873081,0.0012341663158700394,0.0,0.0,
0.0,0.0016339610070276187,0.03369510583241804,0.0095861938653398,0.0,0.0,
0.010702722847227075,0.008147498584732875,0.05080841082348999,0.0,0.0023495136506743106,0.0029865268449573643,
0.0061674857858726026,0.01219732186220773,0.0486712042959264,0.006667647203020052,0.014341957255343082,0.0025625165679950515,
0.008833406336691487,0.0035781873697937373,0.07573033232500581,0.00795608904166551,0.000830987138303546,0.0007629219912263971,
0.0,0.0022782955143910424,0.09167989307493109,0.0,0.003936628539180465,0.0015074309978768577,
0.014248422884489884,0.02287486672482311,0.06126224902350442,0.002157497303128371,0.0,0.0,
